merchant_core,channels,category,subcategory,notes
A J CARDEW ADEN,BP,Housing & Utilities,Cleaning / Housecare,
A J CARDEW AIDEN,BP,Housing & Utilities,Cleaning / Housecare,
A J CARDEW CLEANING,BP,Housing & Utilities,Cleaning / Housecare,
AARDVARK BRISTOL BRISTOL,))),Food & Groceries,Takeaway / Cafes / Pubs / Restaurants,
ACRO POLICE CERT FAREHAM,VIS,Isle of Man / Plan B,Documents,
ADMIRAL TRAVEL IN CARDIFF,VIS,Transport,Travel Insurance,
ADVANCE UK LONDON,VIS,Giving / Political,Subscriptions,
AIR EUROPA LINEAS RH6 ONP LONDR,VIS INT'L,Transport,Travel,
AIR EUROPA LLUCMAJOR,VIS INT'L,Transport,Travel,
AIRFAREETG,VIS,Transport,Travel,
ALBERT HOTEL DOUGLAS,))),Food & Groceries,Takeaway / Cafes / Pubs / Restaurants,
ALDI 105 772 KETTERING,))),Food & Groceries,Groceries,
AM.NORD* LONDON,VIS,Tech,VPN / Security,
AMAZON PRIME* AMZN.CO.UK/PM,VIS,Tech,Subscriptions,
AMAZON UK* LONDON,VIS,Personal / Misc,Other,Amazon UK shopping
AMAZON* LONDON,VIS,Personal / Misc,Other,Amazon general shopping — could be split later by item type
AMZNMKTPLACE* AMAZON.CO.UK,VIS,Personal / Misc,Other,Amazon Marketplace — could be split later
ANGLIAN WATER,DD,Housing & Utilities,Water,
ANTHROPIC ANTHROPIC.COM,VIS INT'L,Tech,AI / Dev Tools,
APOSTILLE SERVICE COVENTRY,VIS,Isle of Man / Plan B,Documents,
BARKER & BARNET DO RUSHDEN,"))), VIS",Personal / Misc,Clothing / Personal,
BHARAT SEVAK SAMAJ RUGBY CV21,))),Food & Groceries,Takeaway / Cafes / Pubs / Restaurants,
BISL TA HALIFAX,DD,Transport,Car / Motoring,Halifax ISA / investment
BKG*.COM FL (917)421-7240,VIS,Transport,Travel,
BOOTS 1137 GATWICK AIRPO,))),Health,Other,
"BOOTS,KETTERING KETTERING",))),Health,Other,
BP PENSION TRUSTEE,CR,Income,Pension,
BT GROUP PLC,DD,Housing & Utilities,Internet / Phone,
CAFFE NERO 132 GAT GATWICK AIRPO,))),Food & Groceries,Takeaway / Cafes / Pubs / Restaurants,
CALLUM SMITH CLIVE,BP,Personal / Misc,Other,
CARL RUMNEY BODGE,BP,Bodge / Pet,Boarding / Sitting,
CASH BNKM JUL04 CENTRAL CO-O@09:27,ATM,Personal / Misc,Cash Withdrawals,
CASH BNKM MAY17 CENTRAL CO-O@19:35,ATM,Personal / Misc,Cash Withdrawals,
CASH NOTEMAC JUL02 NOTEMACHINE @17:56,ATM,Personal / Misc,Cash Withdrawals,
CASH RB SCOT SEP12 TESCO KET L @20:45,ATM,Personal / Misc,Cash Withdrawals,
CENTRAL ENG COOP NN16 9RD,"))), VIS",Food & Groceries,Groceries,
CHQ IN AT 402607,CR,Personal / Misc,Other,
